TSS coordinate	Locus_tag	Strand
7531	ACX60_00030	-
9633	ACX60_00035	-
9802	ACX60_00040	+
11074	ACX60_00045	+
13552	ACX60_00055	+
17934	ACX60_00075	+
25555	ACX60_00110	+
29934	ACX60_00130	+
31943	ACX60_00135	+
35210	ACX60_00145	-
44779	ACX60_00175	+
47067	ACX60_00190	+
57116	ACX60_00245	-
59012	ACX60_00265	+
66073	ACX60_00300	-
70108	ACX60_00325	+
70177	ACX60_00320	-
72431	ACX60_00330	-
75296	ACX60_00345	-
75472	ACX60_00350	+
80334	ACX60_00365	-
80622	ACX60_00370	+
82147	ACX60_00380	+
94964	ACX60_00425	-
95427	sRNA1	+
106828	ACX60_00490	+
107954	ACX60_00495	-
108090	ACX60_00500	+
117093	ACX60_00535	-
117998	ACX60_00540	-
118097	ACX60_00545	+
126599	ACX60_00585	+
137010	ACX60_00635	+
145283	ACX60_00670	-
153849	ACX60_00715	-
154985	ACX60_00725	+
156197	sRNA2	-
160709	ACX60_00750	-
161142	ACX60_00755	-
161249	ACX60_00760	+
169586	ACX60_00795	+
172071	ACX60_00810	+
176896	ACX60_00820	+
177269	ACX60_00825	+
180306	ACX60_00830	-
181864	ACX60_00845	+
188385	ACX60_00870	+
191233	ACX60_00885	+
194290	ACX60_00895	-
195043	ACX60_00905	+
200595	ACX60_00930	+
206000	ACX60_00940	-
208344	ACX60_00955	+
209144	ACX60_00960	+
212208	ACX60_00965	-
212697	sRNA4	+
212938	sRNA5	-
217820	ACX60_00975	-
218035	ACX60_00980	+
220055	ACX60_00995	+
221184	ACX60_01000	-
221372	ACX60_01005	+
222625	ACX60_01010	+
226471	ACX60_01035	+
229676	ACX60_01040	-
235555	sRNA7	-
238494	sRNA8	+
239405	ACX60_01090	-
245180	ACX60_01120	-
247300	sRNA9	+
253903	ACX60_01185	+
255397	ACX60_01195	+
260341	ACX60_01225	+
262148	ACX60_01235	+
263365	ACX60_01240	-
271569	ACX60_01295	-
272260	ACX60_01300	-
274127	ACX60_01320	+
274331	ACX60_01325	+
276682	ACX60_01335	-
279152	ACX60_01345	-
279712	ACX60_01350	+
282316	ACX60_01355	+
285636	ACX60_01360	-
291644	ACX60_01390	-
292757	ACX60_01400	+
301973	ACX60_01440	-
303008	ACX60_01445	-
304545	ACX60_01450	-
304836	ACX60_01460	-
306417	ACX60_01465	-
307025	ACX60_01470	-
308401	ACX60_01480	+
315588	ACX60_01510	+
319391	ACX60_01520	-
325309	ACX60_01555	+
327644	ACX60_01565	+
340733	ACX60_01610	-
344046	ACX60_01625	-
353656	ACX60_01675	+
358177	ACX60_01705	+
360048	ACX60_01715	+
363765	ACX60_01730	-
364020	ACX60_01735	+
365594	ACX60_01740	+
367152	ACX60_01755	+
367680	ACX60_01760	+
371378	ACX60_01765	-
373357	ACX60_01775	-
374126	ACX60_01780	-
380482	ACX60_01815	+
389475	ACX60_01845	-
389626	ACX60_01850	+
392798	ACX60_01865	-
400636	ACX60_01905	+
402167	ACX60_01910	+
405861	ACX60_01925	-
405972	ACX60_01930	+
408765	ACX60_01940	+
412064	ACX60_01945	-
413157	ACX60_01950	-
413884	ACX60_01955	-
414018	ACX60_01960	+
416131	ACX60_01965	+
417163	ACX60_01970	+
419352	ACX60_01975	+
424037	ACX60_02005	-
432396	ACX60_02040	-
432575	ACX60_02045	+
436792	ACX60_02060	-
437335	ACX60_02065	-
438191	ACX60_02070	-
441108	ACX60_02080	-
442072	ACX60_02090	+
447310	ACX60_02145	+
458850	ACX60_02240	+
465243	ACX60_02270	-
467321	ACX60_02275	-
469884	ACX60_02280	-
470113	ACX60_02285	+
473629	ACX60_02305	-
474123	ACX60_02310	+
475046	ACX60_02315	-
479847	ACX60_02345	+
481128	ACX60_02350	-
485514	ACX60_02375	-
487032	ACX60_02380	-
487192	ACX60_02385	+
490070	ACX60_02395	+
492132	ACX60_02405	-
495815	ACX60_02430	+
514957	ACX60_02515	-
515987	ACX60_02525	-
516088	ACX60_02530	+
519277	ACX60_02545	-
521796	ACX60_02560	-
527827	ACX60_02590	-
527975	ACX60_02595	+
542453	ACX60_02665	-
544283	ACX60_02675	+
545899	ACX60_02680	-
546101	ACX60_02685	+
550099	ACX60_02700	-
550369	ACX60_02705	-
550474	sRNA15	+
561606	ACX60_02765	+
581964	ACX60_02840	-
