TSS coordinate	Locus tag	Strand	TSS cluster ID	is_inside_ORF	Distance to ORF
25	ACX60_RS00005	+	1	No	64
3646	gyrB	+	2	Yes	236
11074	ACX60_RS00045	+	3	No	48
13552	ACX60_RS00055	+	4	No	49
25555	ACX60_RS00110	+	5	No	197
29933	ACX60_RS00130	+	6	No	109
44779	ACX60_RS00175	+	7	No	76
47067	ACX60_RS00190	+	8	No	29
47550	ACX60_RS00195	+	9	Yes	419
59011	ACX60_RS00265	+	10	No	31
82147	ACX60_RS00380	+	11	No	81
104709	ACX60_RS00480	+	12	No	29
106274	ACX60_RS00485	+	13	No	97
106828	ACX60_RS00490	+	14	No	133
106882	ACX60_RS00490	+	15	No	79
112410	ACX60_RS00520	+	16	Yes	203
118097	ACX60_RS00545	+	17	No	56
125222	ACX60_RS00580	+	18	Yes	724
139288	ACX60_RS00650	+	19	Yes	318
139482	ACX60_RS00650	+	20	Yes	124
143179	ACX60_RS00665	+	21	No	142
148743	ACX60_RS00695	+	22	No	168
148850	ACX60_RS00695	+	23	No	61
149399	ACX60_RS00700	+	24	No	21
149882	ACX60_RS00705	+	25	Yes	96
154873	ACX60_RS00725	+	26	No	137
154985	ACX60_RS00725	+	27	No	25
156755	pyrE	+	28	No	399
162407	murG	+	29	No	50
164927	ACX60_RS00775	+	30	Yes	125
164936	ACX60_RS00775	+	31	Yes	116
166516	ACX60_RS00785	+	32	Yes	380
166569	ACX60_RS00785	+	33	Yes	327
166844	ACX60_RS00785	+	34	No	52
167981	ACX60_RS00790	+	35	Yes	342
168190	ACX60_RS00790	+	36	No	133
168252	ACX60_RS00790	+	37	No	71
169586	ACX60_RS00795	+	38	No	23
170660	ACX60_RS00805	+	39	No	497
172071	aceE	+	40	No	29
176897	ACX60_RS00820	+	41	No	60
177269	ACX60_RS00825	+	42	No	209
181866	ACX60_RS00845	+	43	No	21
183429	glmM	+	44	No	74
188385	ACX60_RS00870	+	45	No	191
191190	ACX60_RS00885	+	46	No	76
191233	ACX60_RS00885	+	47	No	33
195043	ACX60_RS00905	+	48	No	162
198021	ACX60_RS00930	+	49	Yes	2604
198141	ACX60_RS00930	+	50	Yes	2484
200597	ACX60_RS00930	+	51	No	28
208344	ACX60_RS00955	+	52	No	35
209144	ACX60_RS00960	+	53	No	93
221372	ACX60_RS01005	+	54	No	44
222625	ACX60_RS01010	+	55	No	20
223776	ACX60_RS01015	+	56	Yes	285
229695	ACX60_RS01045	+	57	No	89
238494	ACX60_RS01100	+	58	No	2413
249849	ACX60_RS01155	+	59	No	213
251185	ACX60_RS01165	+	60	Yes	371
260341	ACX60_RS01225	+	61	No	21
267627	ACX60_RS01270	+	62	Yes	93
273439	ACX60_RS01315	+	63	No	203
289465	ACX60_RS01385	+	64	No	52
292757	ACX60_RS01400	+	65	No	49
308403	ACX60_RS01480	+	66	No	26
324734	aroK	+	67	No	0
325309	ACX60_RS01555	+	68	No	23
326251	ACX60_RS01560	+	69	Yes	179
327644	gltB	+	70	No	116
338104	ACX60_RS01600	+	71	No	25
344740	ispH	+	72	No	95
353658	ACX60_RS01675	+	73	No	71
358177	ACX60_RS01705	+	74	No	29
364020	ACX60_RS01735	+	75	No	94
365594	ACX60_RS01740	+	76	No	25
367152	ACX60_RS01755	+	77	No	20
367680	ACX60_RS01760	+	78	No	227
374217	ACX60_RS01785	+	79	No	34
376860	ACX60_RS01805	+	80	No	82
378605	ACX60_RS01810	+	81	No	28
380611	ACX60_RS01815	+	82	No	491
400927	ACX60_RS01910	+	83	Yes	1263
405971	ACX60_RS01930	+	84	No	92
408776	ACX60_RS01940	+	85	No	87
414018	ACX60_RS01960	+	86	No	142
416131	ACX60_RS01965	+	87	No	56
